8001,4,4,6
0.6202,0.36409,-0.22857,0,-3.0477e-09,-1.247e-08,-6.5142e-09,0,-5.5252e-07,-2.2578e-06,-1.179e-06,0,-7.498e-05,-0.00030574,-0.00015954,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-3.6389e-09,-1.4885e-08,-7.7753e-09,0,-6.3093e-07,-2.5774e-06,-1.3458e-06,0,-8.1879e-05,-0.00033374,-0.00017413,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-4.3119e-09,-1.7634e-08,-9.2107e-09,0,-7.1638e-07,-2.9256e-06,-1.5274e-06,0,-8.9075e-05,-0.00036293,-0.00018934,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-5.0741e-09,-2.0746e-08,-1.0835e-08,0,-8.0918e-07,-3.3036e-06,-1.7246e-06,0,-9.6568e-05,-0.0003933,-0.00020516,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-5.9328e-09,-2.4252e-08,-1.2665e-08,0,-9.0962e-07,-3.7126e-06,-1.938e-06,0,-0.00010436,-0.00042486,-0.00022159,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-6.896e-09,-2.8182e-08,-1.4717e-08,0,-1.018e-06,-4.1538e-06,-2.168e-06,0,-0.00011244,-0.00045759,-0.00023863,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-7.9716e-09,-3.257e-08,-1.7007e-08,0,-1.1346e-06,-4.6282e-06,-2.4154e-06,0,-0.00012081,-0.00049149,-0.00025628,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-9.168e-09,-3.745e-08,-1.9554e-08,0,-1.2597e-06,-5.1371e-06,-2.6808e-06,0,-0.00012948,-0.00052655,-0.00027453,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-1.0494e-08,-4.2856e-08,-2.2375e-08,0,-1.3937e-06,-5.6817e-06,-2.9647e-06,0,-0.00013845,-0.00056277,-0.00029337,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-1.1958e-08,-4.8826e-08,-2.5489e-08,0,-1.5367e-06,-6.263e-06,-3.2677e-06,0,-0.0001477,-0.00060015,-0.00031282,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-1.357e-08,-5.5395e-08,-2.8917e-08,0,-1.6892e-06,-6.8824e-06,-3.5905e-06,0,-0.00015724,-0.00063868,-0.00033286,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-1.534e-08,-6.2603e-08,-3.2677e-08,0,-1.8513e-06,-7.5408e-06,-3.9337e-06,0,-0.00016708,-0.00067836,-0.0003535,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-1.7276e-08,-7.049e-08,-3.6791e-08,0,-2.0234e-06,-8.2395e-06,-4.2977e-06,0,-0.0001772,-0.00071918,-0.00037472,0,13.8,13.8,3.8,2.4,2.4,1.02
0.6202,0.36409,-0.22857,0,-1.939e-08,-7.9096e-08,-4.128e-08,0,-2.2058e-06,-8.9795e-06,-4.6833e-06,0,-0.00018761,-0.00076114,-0.00039653,0,13.8,13.8,3.8,2.4,2.4,1.02
